"","imID","klass","H3label","H2label","H1label","H3class","H2class","H1class","label","x","y","width","height","image"
"007663ed-fe97-496f-9306-e17082b8a7f2","007663ed-fe97-496f-9306-e17082b8a7f2",967,"Perching Birds","Wood-Warblers","Chestnut-sided Warbler",22,207,577,"Chestnut-sided Warbler (Female/immature male)",70,81,512,549,"0967/007663edfe97496f9306e17082b8a7f2.jpg"
"00a8e7ae-d8da-4cba-8969-1dfb943a2aa2","00a8e7ae-d8da-4cba-8969-1dfb943a2aa2",761,"Perching Birds","Wood-Warblers","Blackpoll Warbler",22,207,582,"Blackpoll Warbler (Breeding male)",133,234,396,577,"0761/00a8e7aed8da4cba89691dfb943a2aa2.jpg"
"00b775eb-fe41-49b2-92e9-a9955cf1042b","00b775eb-fe41-49b2-92e9-a9955cf1042b",756,"Perching Birds","Wood-Warblers","Common Yellowthroat",22,207,391,"Common Yellowthroat (Adult Male)",457,48,374,526,"0756/00b775ebfe4149b292e9a9955cf1042b.jpg"
"00c06b00-3b73-44e9-bc1e-c5aafb438321","00c06b00-3b73-44e9-bc1e-c5aafb438321",862,"Perching Birds","Wood-Warblers","Northern Waterthrush",22,207,260,"Northern Waterthrush",124,166,512,403,"0862/00c06b003b7344e9bc1ec5aafb438321.jpg"
"00d89148-b7d4-49d2-831a-2eee070a85a4","00d89148-b7d4-49d2-831a-2eee070a85a4",883,"Perching Birds","Wood-Warblers","Black-throated Green Warbler",22,207,732,"Black-throated Green Warbler",101,124,377,708,"0883/00d89148b7d449d2831a2eee070a85a4.jpg"
"0116ca98-293d-4fa6-a93b-5a6144ef64cc","0116ca98-293d-4fa6-a93b-5a6144ef64cc",864,"Perching Birds","Wood-Warblers","Black-and-white Warbler",22,207,272,"Black-and-white Warbler",387,286,397,422,"0864/0116ca98293d4fa6a93b5a6144ef64cc.jpg"
"014e76d0-fb4e-4b40-901c-7a2d5655c3b0","014e76d0-fb4e-4b40-901c-7a2d5655c3b0",761,"Perching Birds","Wood-Warblers","Blackpoll Warbler",22,207,582,"Blackpoll Warbler (Breeding male)",191,207,585,375,"0761/014e76d0fb4e4b40901c7a2d5655c3b0.jpg"
"014ee4a8-8069-4b08-ac1c-04230da90244","014ee4a8-8069-4b08-ac1c-04230da90244",757,"Perching Birds","Wood-Warblers","American Redstart",22,207,412,"American Redstart (Adult Male)",87,293,438,370,"0757/014ee4a880694b08ac1c04230da90244.jpg"
"01e73ddf-0bdf-4d34-85ba-5ba2eacbdef2","01e73ddf-0bdf-4d34-85ba-5ba2eacbdef2",884,"Perching Birds","Wood-Warblers","Canada Warbler",22,207,736,"Canada Warbler",185,236,434,455,"0884/01e73ddf0bdf4d3485ba5ba2eacbdef2.jpg"
"0207e9a2-7dbb-40b5-9459-b472aaeceb2a","0207e9a2-7dbb-40b5-9459-b472aaeceb2a",866,"Perching Birds","Wood-Warblers","Tennessee Warbler",22,207,283,"Tennessee Warbler",382,129,589,432,"0866/0207e9a27dbb40b59459b472aaeceb2a.jpg"
